Ticker,Company Name (SETTRADE),Market,Industry Sector,Company Website,Sustainability Disclosure Group,Listing Age (Years)
APO,Asian Palm Oil Public Company Limited,mai,Agro & Food Industry,asianpalmoil.com,0,0.75
TMILL,T.S. Flour Mill Public Company Limited,mai,Agro & Food Industry,www.tmill.co.th,1,12.1
AKP,AKKHIE PRATIKARN Public Company Limited,mai,Services,www.akkhie.com,1,11.9
PROEN,PROEN Corp Public Company Limited,mai,Technology,www.proen.co.th,1,3.67
PPS,P.P.S. Packaging Public Company Limited,mai,Property & Construction,www.pps.co.th,1,12.26
BSM,BSM Group Public Company Limited,mai,Property & Construction,www.bsmgroup.asia,1,16.88
CIG,C.I. Group Public Company Limited,mai,Industrial Products,www.cigpcl.com,0,19.93
MPJ,MPJ Logistics Public Company Limited,mai,Services,www.mpjlogistics.com,0,0.15
DOD,DOD Biotech Public Company Limited,mai,Consumer Products,www.dodbiotech.com,0,6.53
TNDT,Thai N.D.T. Public Company Limited,mai,Services,www.tndt.co.th,0,17.26
