Ticker,Year,Use in main analysis? (Y/N)_x,Revenue (THB mn) [Input],Net Profit (THB mn) [Input],Total Assets (THB mn) [Input],Total Liabilities (THB mn) [Input],Total Equity (THB mn) [Input],ROA [Formula],ROE [Formula],Net Profit Margin [Formula],D/E [Formula],Sustainability Disclosure Group,Industry Sector,Listing Age (Years),Use in main analysis? (Y/N)_y,Market Cap (THB mn) [Input],Year-end Close Price (THB) [Input],Annual Return % [Formula/Optional],P/E (x) [Input],P/BV (x) [Input],Avg Daily Value (THB mn) [Input]
APO,2024,N,1798.11,107.06,473.03,87.58,385.44,0.22632813986427924,0.2777604815276048,0.059540295087619786,0.2272208385222084,0,Agro & Food Industry,0.75,Y,601.8,1.77,,3.42,1.22,
TMILL,2024,N,1721.57,19.19,1701.43,649.48,1051.95,0.011278747876785998,0.018242311896953276,0.011146802046968756,0.617405770236228,1,Agro & Food Industry,12.1,Y,837.19,2.1,,21.03,0.79,
AKP,2024,N,351.86,36.35,744.0,101.24,642.76,0.04885752688172043,0.056552990229634705,0.10330813391689876,0.15750824569045987,1,Services,11.9,Y,242.4,0.6,,3.99,0.36,
PROEN,2024,N,716.38,29.23,1470.41,890.59,579.79,0.019878809311688575,0.05041480536056159,0.04080236745861135,1.5360561582641992,1,Technology,3.67,Y,423.97,1.08,,4.84,0.71,
PPS,2024,N,386.59,-14.18,589.25,294.11,296.54,-0.024064488756894358,-0.047818169555540566,-0.03667968648956259,0.9918054899844877,1,Property & Construction,12.26,Y,146.18,0.17,,,0.52,
BSM,2024,N,489.97,-78.67,1086.54,739.41,333.05,-0.07240414526846688,-0.23621077916228794,-0.16056085066432638,2.2201170995346042,1,Property & Construction,16.88,Y,78.83,0.37,,,0.26,
CIG,2024,N,445.32,-432.88,892.09,442.93,446.94,-0.4852425203735049,-0.9685416386987068,-0.9720650318871823,0.9910278784624335,0,Industrial Products,19.93,Y,112.1,0.03,,,0.32,
MPJ,2024,N,1048.64,99.98,1213.87,521.25,688.01,0.08236466837470241,0.14531765526663856,0.09534253890753738,0.7576198020377611,0,Services,0.15,Y,696.0,3.48,,5.79,0.97,
DOD,2024,N,662.77,-159.33,1286.31,394.4,898.6,-0.12386594211348743,-0.1773091475628756,-0.2404001388113524,0.43890496327620737,0,Consumer Products,6.53,Y,729.67,1.62,,14.31,0.77,
TNDT,2024,N,301.66,-274.37,691.62,570.3,126.32,-0.39670628379746103,-2.1720234325522485,-0.9095339123516542,4.5147245091830275,0,Services,17.26,Y,227.05,0.16,,,2.85,
